Thumb,Index,Middle,Ring,Pinky,Letter,
3792,2949,3922,2192,3419,11,
3853,2967,3882,2224,3402,11,
3797,2974,3940,2274,3463,11,
3858,2960,3931,2258,3461,11,
3797,3001,3898,2292,3461,11,
3766,2992,3952,2258,3456,11,
3760,2790,3898,2160,3530,11,
3765,2786,3984,2070,3463,11,
3733,2776,3987,2096,3570,11,
3696,2843,3959,2189,3599,11,
3751,2859,4048,2003,3614,11,
3780,2762,4023,2034,3571,11,
3763,2778,4011,2066,3565,11,
3702,2641,3950,2032,3507,11,
3708,2816,3958,2114,3551,11,
3676,2802,4001,2123,3450,11,
3747,2835,3939,2118,3657,11,
3749,2829,3853,2128,3539,11,
3741,2821,3779,2133,3530,11,
3710,2659,3472,2111,3407,11,
3774,2815,3624,2176,3355,11,
3787,2835,3602,2205,3443,11,
3734,2828,3651,2167,3467,11,
3742,2971,3664,2349,3312,11,
3905,2960,3676,2433,3357,11,
3721,2997,3949,2431,3456,11,
3751,3024,3935,2430,3429,11,
3793,3046,3820,2426,3492,11,
3765,3038,3902,2416,3439,11,
3793,3081,3871,2441,3449,11,
3782,3060,3862,2418,3455,11,
3763,2993,3811,2448,3454,11,
3788,3110,3815,2430,3266,11,
3771,3038,3797,2439,3427,11,
3813,2943,3971,2398,3443,11,
3812,2766,3948,2234,3435,11,
3822,2864,3962,2287,3359,11,
3807,2882,3920,2295,3418,11,
3783,2882,3937,2304,3442,11,
3809,2905,3966,2321,3152,11,
3834,2960,4080,2209,3425,11,
3856,2818,3999,1958,3551,11,
3858,2853,3940,2160,3661,11,
3867,2731,3922,2236,3876,11,
3795,2800,4032,2288,3558,11,
3796,2885,4063,2223,3512,11,
3775,2833,3947,2229,3680,11,
3774,2851,3957,2243,3589,11,
3801,2857,3952,2227,3552,11,
3808,2768,3954,2247,3518,11,
